published_date,title,source,description,link,date_string
2024-12-31,Cara Download Video TikTok Kualitas HD Tanpa Watermark dan Gratis,MerahPutih,"Cara Download Video TikTok Kualitas HD 1. SSSTik.io, 2. SnapTik, 3. MusicallyDown, 4. TTSave.APP, 5. Snapsave.",https://www.merahputih.com/post/read/cara-download-video-tiktok-kualitas-hd-no-watermark,31 Des 2024
2024-12-27,"10 Cara Download Video TikTok, No Watermark",MerahPutih,"Cara Download Video TikTok No Watermark 1. SnapTik, 2. TTDownloader, 3. MusicallyDown, 4. SaveTok, 5. TikMate.",https://www.merahputih.com/post/read/10-cara-download-video-tiktok-super-mudah-dan-no-watermark,27 Des 2024
2024-12-23,"Marak Isu PHK Karyawan, Industri Televisi Nasional dalam Kondisi Tertekan",Kompas.id,"Pendapatan iklan cenderung menurun dan persaingan tidak hanya sesama stasiun televisi, tetapi juga dengan media baru.",https://www.kompas.id/artikel/ramai-diisukan-phk-karyawan-kesehatan-industri-televisi-nasional-sedang-tertekan,23 Des 2024
2024-12-22,Lembaga Penyiaran Publik Slovenia Desak Boikot Israel dari Eurovision,Minanews.net,"Ljubljana, MINA – Dalam sebuah langkah yang belum pernah terjadi sebelumnya, Lembaga Penyiaran Publik Slovenia (RTV) menuntut agar Israel diboikot dari...",https://minanews.net/lembaga-penyiaran-publik-slovenia-desak-boikot-israel-dari-eurovision/,22 Des 2024
2024-12-17,Ketua KPI Ubaidillah Minta TV dan Radio Masifkan Siaran Lagu Indonesia Raya Setiap Pagi,Berita Nasional - Media Pencerah Bangsa,BeritaNasional.com - Ketua Komisi Penyiaran Indonesia (KPI) Pusat Ubaidillah mendukung penayangan siaran lagu Indonesia Raya tiap pagi di televisi.,https://beritanasional.com/detail/89496/ketua-kpi-ubaidillah-minta-tv-dan-radio-masifkan-siaran-lagu-indonesia-raya-setiap-pagi,17 Des 2024
2024-12-11,Setara Institute: Skor Indeks HAM Tahun ini Turun,Voice of America Indonesia,"Setara Institute mengatakan indeks HAM pemerintahan Presiden Joko Widodo semakin merosot, terutama pada periode 2019-2024.",https://www.voaindonesia.com/a/setara-institute-skor-indeks-ham-tahun-ini-turun/7896173.html,11 Des 2024
2024-12-11,Melihat Kebebasan Pers dan Penggunaan AI di Jerman,Tempo.co,Kasus kebebasan pers paling rumit yang ditangani Dewan Pers Jerman yakni saat beberapa surat kabar Jerman mencetak gambar kartun Nabi Muhammad SAW.,https://www.tempo.co/internasional/melihat-kebebasan-pers-dan-penggunaan-ai-di-jerman--1179954,11 Des 2024
2024-12-11,FAQ Kebebasan Berekspresi,Remotivi,"Hak kebebasan berekspresi merupakan fondasi penting dalam kehidupan kita sebagai warga negara. Melalui hak ini, kita bisa menyuarakan pendapat, berbagi ide,...",https://www.remotivi.or.id/headline/esai/868,11 Des 2024
2024-12-08,#AkhiriDiskriminasi-LawanPatriarki: 10 Tuntutan Women’s March Jakarta 2024,Magdalene.co,"Ada 10 tuntutan dalam Women's March Jakarta 2024, mulai dari mengesahkan dan menjalankan mekanisme penanganan femisida, UU TPKS, hingga...",https://magdalene.co/story/womens-march-jakarta-2024/,8 Des 2024
2024-12-05,Anggota DPR: Larangan anak gunakan medsos perlu dikaji mendalam,ANTARA News,Anggota Komisi X DPR RI Puti Guntur menilai pemerintah dan pihak terkait lainnya perlu melakukan kajian secara mendalam apabila Indonesia hendak menerapkan...,https://www.antaranews.com/berita/4512953/anggota-dpr-larangan-anak-gunakan-medsos-perlu-dikaji-mendalam,5 Des 2024
2024-12-05,"Ancam Ekonomi dan Kesehatan, Rokok Ilegal di Tanjungpinang-Bintan Makin Tak Terbendung",KepriNews.co,"KEPRINEWS – Perederan rokok ilegal di Provinsi Kepri, khususnya di Tanjungpinang dan Bintan, tambah hari tambah makin tak terbendung.",http://keprinews.co/05/12/2024/ancam-ekonomi-dan-kesehatan-rokok-ilegal-di-tanjungpinang-bintan-makin-tak-terbendung/,5 Des 2024
2024-12-05,Bolehkah Bercanda saat Ceramah?,Universitas Muhammadiyah Jakarta - UMJ,"Dosen dan Kaprodi MPI SPs UMJ Dr. Saiful Bahri, Lc., MA., menjelaskan tentang prinsip dalam berkomedi dan bercanda yang diperbolehkan dalam.",https://umj.ac.id/opini-1/bolehkah-bercanda-saat-ceramah/,5 Des 2024
2024-12-03,Kebebasan Berekspresi di Kampus: Antara Hak dan Tanggung Jawab,suara usu,"Oleh: Chairani Suara USU, Medan. Seiring dengan perkembangan zaman yang semakin dinamis dan kompleks, kebebasan berekspresi di kampus sering sekali...",https://suarausu.or.id/kebebasan-berekspresi-di-kampus-antara-hak-dan-tanggung-jawab/,3 Des 2024
2024-12-03,Tantangan Independensi Media di Tengah Pengaruh Kepemilikan Modal - Kompasiana.com,Kompasiana.com,Media massa merupakan salah satu pilar terpenting dalam demokrasi.,https://www.kompasiana.com/fauzankalila4714/674f0807c925c41ab96b80a2/tantangan-independensi-media-di-tengah-pengaruh-kepemilikan-modal,3 Des 2024
2024-12-02,Ratusan warga Banjarbaru demo hasil pilkada ke DPRD,ANTARA News Kalimantan Selatan,Ratusan warga Kota Banjarbaru Kalimantan Selatan menggelar demo ke gedung DPRD menuntut hasil pemilihan kepada daerah sekaligus meminta pemilihan ulang...,https://kalsel.antaranews.com/berita/442277/ratusan-warga-banjarbaru-demo-hasil-pilkada-ke-dprd,2 Des 2024
2024-12-01,Akademisi FH ULM Tegaskan Anak Punya Kebebasan Berpendapat,Hukumonline,UU Perlindungan Anak menjamin hak anak menyampaikan pendapat sesuai usia dan tingkat kecerdasan anak.,https://www.hukumonline.com/berita/a/akademisi-fh-ulm-tegaskan-anak-punya-kebebasan-berpendapat-lt674cf1c263c51/,1 Des 2024
2024-11-28,Menkomdigi minta industri TV perkaya konten edukasi gaet generasi muda,ANTARA News,Menteri Komunikasi dan Digital (Menkomdigi) Meutya Hafid meminta para pelaku di industri penyiaran televisi dapat memperkaya konten-konten siarannya yang .,https://www.antaranews.com/berita/4499633/menkomdigi-minta-industri-tv-perkaya-konten-edukasi-gaet-generasi-muda,28 Nov 2024
