Source,Target,Weight
jjkonlyy,kikysaputrii,1
jjkonlyy,timpenguinnas,1
jorgianaaa,listlessspirit,1
jorgianaaa,spacepiquant,1
jotosihotang,H4KARE,1
juan_adryan82,brfelindra,1
juarapsrb,dewanpers,1
jukisan90,prabowo,1
jurnal9dottv,TV9NUsantara,2
jurnal9dottv,ijti_id,2
jurnalpostcom,jurnalpostcom,1
just_insany,bintangemon,1
justkindoftrash,MythiaVTuber,1
justkindoftrash,remotivi,1
jvncs_,IndoPopBase,1
kak_apit90,carelessrizzard,1
kak_apit90,kumparan,2
kanalbali,AJIdenpasar,1
kanalbali,erickest,1
kanalbali,ferykris,1
kanalbali,haripuspita,1
kapon23,barengwarga,1
kastanye__,Heraloebss,1
kaumEAmann,rerepandya,1
ken_fullmetal,ARSIPAJA,1
ken_fullmetal,izoelsaka,1
ken_fullmetal,kozirama,1
kentomiyauraaa,imrenagi,1
keuangannews_id,Keuangan,2
khansaanrf,thafism__,1
kmzkm08,mardiasih,1
knpharuspeduli,dpr_ri,1
kompastv_manado,YouTube,1
konde_co,gmail,2
kopiairhujan08,BocorAlusPol,1
kopitiamtea,aracelst,1
korbankomet,CNNIndonesia,1
korbankomet,afnanboma10,1
korbankomet,bukan4non,1
krienfurge,logos_id,1
krisna_bakti52,brfelindra,1
krrrik_,aromapetrikorr,1
kulabudi,AJIBdg,1
kulabudi,AJIIndonesia,1
kulabudi,DPR_RI,1
kurnialexander,azzamkalakazam,1
kuromajo14,tanyakanrl,1
kwekism,yuniperes,1
letmesleepmate,basebuku,1
lidya_yuni45,brfelindra,1
lipodiana,ruliemaulana,1
listlessspirit,jorgianaaa,1
listlessspirit,spacepiquant,1
lluvianeiva,enicmat,1
lluvianeiva,hambatan_bebas,1
lluvianeiva,jongkokjuk,1
lluvianeiva,tokinyangino,1
lukilibra74,lukilibra74,1
m_radarnew,m_radarnew,2
magrin3045,tilehopper,1
maidina__,kikysaputrii,1
majikanpenjabat,BetaEpsilonPhi,1
makuta_budiyto,brfelindra,1
malin_palimo,hnirankara,1
malin_palimo,ninik_setiawan,1
man07_ip36818,OjolNyambi,1
manukicaumerdu,alisyarief,1
manzAL787597,folkshittmedia,1
martinusnussah,Koran,12
maspaannn,ARSIPAJA,1
maulin_n,Adriandhy,1
maulin_n,KaukusAkademisi,1
